-5   29.2549
-4.83051   25.1015
-4.66102   20.9548
-4.49153   16.8877
-4.32203   12.9722
-4.15254   9.27776
-3.98305   5.86905
-3.81356   2.80425
-3.64407   0.133332
-3.47458   -2.10339
-3.30508   -3.87639
-3.13559   -5.16779
-2.9661   -5.97185
-2.79661   -6.29519
-2.62712   -6.15652
-2.45763   -5.58617
-2.28814   -4.62517
-2.11864   -3.32411
-1.94915   -1.74171
-1.77966   0.0569524
-1.61017   2.0022
-1.44068   4.02183
-1.27119   6.04313
-1.10169   7.99501
-0.932203   9.81
-0.762712   11.4262
-0.59322   12.7891
-0.423729   13.853
-0.254237   14.5825
-0.0847458   14.9534
0.0847458   14.9534
0.254237   14.5825
0.423729   13.853
0.59322   12.7891
0.762712   11.4262
0.932203   9.81
1.10169   7.99501
1.27119   6.04313
1.44068   4.02183
1.61017   2.0022
1.77966   0.0569524
1.94915   -1.74171
2.11864   -3.32411
2.28814   -4.62517
2.45763   -5.58617
2.62712   -6.15652
2.79661   -6.29519
2.9661   -5.97185
3.13559   -5.16779
3.30508   -3.87639
3.47458   -2.10339
3.64407   0.133332
3.81356   2.80425
3.98305   5.86905
4.15254   9.27776
4.32203   12.9722
4.49153   16.8877
4.66102   20.9548
4.83051   25.1015
5   29.2549
